Country,Longitude,Latitude,ClimateZone,Temperature,Precipitation,SOC_initial,TN_initial,TP_initial,NH4_N_initial,NO3_N_initial,OlsenP_initial,pH_initial,BD_initial,CEC_initial,Texture_initial,Sand_initial,Silt _initial,Clay_initial,Type_biochar,ParticleSize_biochar,BD_biochar,PyrolysisTemperature_biochar,Ash_biochar,C_biochar,N_biochar,P_biochar,CNRatio_biochar,pH_biochar,CEC_biochar,Treatment,BiocharAddition,CropType,TrialDuration,SoilDepth,SOC_T,TN_T,CNRatio_T,DOC_T,NH4_N_T,NO3_N_T,OlsenP_T,CEC_T,K_T,Ca_T,Mg_T,Na_T,pH_T,SMBC_T,SMBN_T,CropYield_T,CO2_T,CH4_T,N2O_T,GWP_T,GHGI_T
China,119.68,31.4,Subtropic,15.7,1177.0,23.2,2.07,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,BN,40.0,Rice,150.0,15.0,36.0,2.54,14.17,,,,,,,,,,6.77,,,10.2,,107.0,0.98,7.63433723562832,202.65
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,10.0,Rice,365.0,15.0,27.1,2.19,12.37,,,,,,,,,,6.75,,,8.3,1179.6,67.2,1.19,8.871224644409553,858.0
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,10.0,Rice,365.0,15.0,29.5,2.11,13.98,,,,,,,,,,6.77,,,8.4,1074.5,175.1,0.83,8.85893722196655,723.0
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,20.0,Rice,365.0,15.0,36.0,2.54,14.17,,,,,,,,,,6.77,,,8.5,1058.9,104.9,0.98,7.062191632286556,1202.0
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,20.0,Rice,365.0,15.0,25.7,1.95,13.18,,,,,,,,,,6.73,,,9.7,1306.3,24.5,3.1,8.951180966457603,972.0
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,40.0,Rice,365.0,15.0,28.9,2.16,13.38,,,,,,,,,,6.77,,,8.3,1383.4,43.6,2.5,8.975630184290507,924.0
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,,Clay,,,39.0,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,79.15,10.4,,B,40.0,Rice,365.0,15.0,36.1,2.27,15.9,,,,,,,,,,6.89,,,9.3,1582.5,39.1,2.0,6.945051063725834,880.0
China,115.5,34.53,Subtropic,15.7,1177.0,9.87,0.94,,,,,8.38,1.46,,Loam,,,,Wheat straw,2.0,,450.00 ,20.8,467.0,5.9,,79.15,10.4,,B,20.0,Maize,230.0,15.0,8.24,15.7,0.52,,1.63,20.3,,,,,,,8.24,,,7.27,1709.2,0.36,0.24,4.541164856012179,16.9
China,115.5,34.53,Subtropic,15.7,1177.0,9.87,0.94,,,,,8.38,1.46,,Loam,,,,Wheat straw,2.0,,450.00 ,20.8,467.0,5.9,,79.15,10.4,,B,40.0,Maize,230.0,15.0,8.38,17.2,0.49,,1.98,20.0,,,,,,,8.38,,,6.74,1860.8,0.17,0.23,4.522874943261261,13.6
China,115.5,34.53,Subtropic,15.7,1177.0,9.87,0.94,,,,,8.38,1.46,,Loam,,,,Wheat straw,2.0,,450.00 ,20.8,467.0,5.9,,79.15,10.4,,BNPK,20.0,Maize,230.0,15.0,8.38,14.5,0.58,,1.34,21.9,,,,,,,8.38,,,7.86,1520.3,-0.13,1.09,6.224954390476336,64.2
China,115.5,34.53,Subtropic,15.7,1177.0,9.87,0.94,,,,,8.38,1.46,,Loam,,,,Wheat straw,2.0,,450.00 ,20.8,467.0,5.9,,79.15,10.4,,BNPK,40.0,Maize,230.0,15.0,8.23,16.5,0.5,,1.6,20.5,,,,,,,8.23,,,7.42,1465.1,-0.11,0.71,5.793013608384144,44.0
China,119.68,31.4,Subtropic,15.7,1177.0,23.5,1.8,,,,,6.5,1.01,18.1,Clay,,,,Wheat straw,2.0,0.65,375.00 ,20.8,467.0,5.9,,83.39,10.4,21.7,B,10.0,Rice,365.0,15.0,,,,,,,,,,,,,,,,9.7,1491.0,42.7,1.51,8.009522585343547,310.15
